Timestamp,Name,location,opening hours ,has vegetarian options
01/02/2024 15:45:04,Mixed veg rice ,Canteen 2,10 am–9:30 pm,yes
01/02/2024 15:45:27,Taiwan cuisine ,Canteen 2,11 am–9:30 pm,No
01/02/2024 15:45:51,Mini wok ,Canteen 2,12 am–9:30 pm,No
01/02/2024 15:46:06,Korean cuisine ,Canteen 2 ,13 am–9:30 pm,No
01/02/2024 15:46:35,Xiao Long Bao ,Canteen 2,14 am–9:30 pm,No
01/02/2024 15:46:49,Chicken rice ,Canteen 2 ,15 am–9:30 pm,No
01/02/2024 15:47:23,Ramen ,Canteen 2,16 am–9:30 pm,No
01/02/2024 15:47:37,Thai cuisine ,Canteen 2,17 am–9:30 pm,No
01/02/2024 15:48:14,Western cuisine ,Canteen 2,18 am–9:30 pm,No
01/02/2024 19:04:21,Mcdonalds ,North Spine ,7 am–10 pm,yes
01/02/2024 19:04:34,popeyes,North Spine ,,No
01/02/2024 19:04:45,Encik Tan,North Spine ,,yes
01/02/2024 19:05:17,Blue ocean,North Spine ,,yes
01/02/2024 19:05:34,Starbucks ,North Spine ,7 am–10 pm,yes
01/02/2024 19:05:51,Subway,North Spine ,7am to 8pm,yes
01/02/2024 19:06:23,Pasta express,North Spine ,10.30am to 7.30pm,yes
01/02/2024 19:06:34,Mr bean,North Spine ,,yes
01/02/2024 19:17:37,Dim Sum,South Spine,7am to 8pm,No
01/02/2024 19:18:20,Japanese & Korean,South Spine,7am to 8pm,No
01/02/2024 19:19:11,Bimbowl Jjajang,South Spine,7am to 8pm,No
01/02/2024 19:19:28,Hot pot snail ,South Spine,7am to 8pm,yes
01/02/2024 19:20:00,Yong Tou foo,South Spine,7am to 8pm,yes
01/02/2024 19:20:18,Braised Duck Rice ,South Spine,7am to 8pm,No
01/02/2024 19:21:24,Mixed Veg rice ,South Spine,7am to 8pm,yes
01/02/2024 19:31:06,Paik's Bibim,North Spine,10am to 9pm,yes